Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,APTV,ADM,ARNC,ANET,AJG,AIZ,ATO,T,ADSK,ADP,AZO,AVB,AVY,BKR,BLL,BAC,BK,BAX,BDX
2019-02-19,203.0106658935547,74.11848449707031,77.14785766601562,359.3699951171875,157.49325561523438,44.12554168701172,257.8099975585937,23.95000076293945,166.9485626220703,16.774057388305664,107.79312133789062,48.24592971801758,77.02619171142578,172.2300262451172,70.47000122070312,63.5081672668457,81.45645904541016,132.93687438964844,128.92999267578122,255.2400054931641,87.29267883300781,136.03962707519528,171.57492065429688,44.1909065246582,92.75739288330078,1126.510009765625,1118.56005859375,46.65414047241211,1627.5799560546875,9.725752830505373,68.30427551269531,35.13008499145508,78.2460708618164,105.39039611816406,41.916805267333984,175.27464294433594,97.40701293945312,129.349853515625,85.60084533691406,78.5377197265625,182.85498046875,91.77729034423828,102.11821746826172,174.4600067138672,308.0303649902344,171.4538116455078,51.27424240112305,32.36807632446289,48.32537841796875,169.12200927734375,38.5927734375,80.66931915283203,40.768638610839844,18.01650619506836,269.57998657226557,78.80142211914062,96.12447357177734,95.3284149169922,29.294677734375,160.67999267578125,147.28114318847656,916.6799926757812,192.12673950195312,102.92086791992188,1.4452604055404663,53.60849380493164,28.482023239135746,51.98844909667969,72.69517517089844,244.99725341796875
2019-02-20,203.1275634765625,74.65214538574219,76.64005279541016,362.25,157.72039794921875,42.4390869140625,258.10000610351557,23.95000076293945,165.8098602294922,16.744766235351562,108.73260498046876,48.37395095825195,78.05957794189453,174.71839904785156,69.83000183105469,62.30804824829102,81.14289855957031,132.23149108886722,129.83999633789062,253.7899932861328,87.2232666015625,138.37663269042972,170.80667114257812,44.21047592163086,93.18872833251952,1120.5899658203123,1113.800048828125,48.10166549682617,1622.0999755859375,9.725752830505373,68.60637664794922,34.72401809692383,78.67598724365234,105.66748046875,42.20931625366211,174.37657165527344,97.36754608154295,130.26145935058594,85.08832550048828,79.30281829833984,182.8060607910156,92.77973175048828,104.66577911376952,174.66000366210938,309.36492919921875,171.5928497314453,51.74763488769531,32.84421920776367,47.63723373413086,170.21038818359375,38.49407196044922,81.07614135742188,40.88554382324219,18.345712661743164,270.72000122070307,78.91907501220703,96.7017593383789,96.01422119140624,29.505088806152344,159.8000030517578,147.52610778808594,921.1400146484376,189.82847595214844,104.3424301147461,1.4452604055404663,53.94565200805664,28.755794525146484,52.31220626831055,73.34821319580078,246.0047607421875
2019-02-21,202.3872375488281,74.2568359375,75.45198059082031,358.3599853515625,157.54263305664062,41.56610107421875,257.760009765625,23.920000076293945,161.12522888183594,16.910747528076172,106.81407928466795,48.15729522705078,77.39384460449219,175.73147583007812,68.81999969482422,61.83586502075195,87.46305847167969,132.74093627929688,127.5500030517578,250.22999572753903,87.5009536743164,134.69854736328122,168.47239685058594,44.66070556640625,92.7671890258789,1104.2099609375,1096.969970703125,47.96834182739258,1619.43994140625,9.725752830505373,69.38599395751953,34.64478302001953,79.29156494140625,105.49925231933594,41.93630599975586,174.19891357421875,99.06500244140624,129.085205078125,83.75774383544922,78.7563247680664,181.41732788085938,92.63085174560548,103.1568374633789,174.49000549316406,307.7337951660156,171.1956329345703,51.88570785522461,32.426380157470696,48.45044326782226,169.2506561279297,38.32627868652344,80.49071502685547,41.47003936767578,18.196075439453125,270.5,79.06614685058594,96.05597686767578,97.12133026123048,29.48596000671387,159.8300018310547,147.93763732910156,906.3300170898438,191.59864807128903,103.53851318359376,1.435495138168335,54.024986267089844,28.638465881347656,51.94919967651367,73.24925994873047,244.6515655517578
2019-02-22,203.9263153076172,75.23519897460938,76.66879272460938,352.6000061035156,159.48809814453125,41.169288635253906,258.89999389648443,24.36000061035156,161.28504943847656,17.115785598754886,107.92168426513672,48.00956726074219,77.92046356201172,177.15760803222656,69.86000061035156,61.38336181640625,87.38465881347656,133.94598388671878,129.72999572753906,253.9900054931641,88.95880126953125,134.79714965820312,171.43701171875,44.70964813232422,92.7083740234375,1116.56005859375,1110.3699951171877,49.04446411132813,1631.56005859375,9.725752830505373,70.34102630615234,35.14989471435547,79.8485107421875,106.3206024169922,41.79979705810547,174.31735229492188,99.65715026855469,132.22190856933594,84.43781280517578,78.89543151855469,183.3733062744141,93.6332778930664,103.77413940429688,175.47999572753906,313.160888671875,170.85800170898438,52.44786071777344,32.52355194091797,48.79246520996094,171.14044189453125,38.91849136352539,81.72109985351562,41.39210510253906,18.235979080200195,274.97000122070307,79.02692413330078,96.81402587890624,97.98316192626952,29.79200935363769,161.50999450683594,150.09332275390625,911.6599731445312,191.72576904296875,104.84242248535156,1.435495138168335,54.79846572875977,28.433135986328125,52.2140998840332,73.89241027832031,246.597412109375
2019-02-25,205.1244354248047,75.95661926269531,76.927490234375,352.8900146484375,159.65597534179688,41.6256217956543,258.6199951171875,24.709999084472656,157.52935791015625,16.920513153076172,109.11827850341795,48.21638107299805,78.83460235595703,178.1903533935547,69.54000091552734,61.72765731811523,89.72655487060547,133.26017761230472,133.16999816894528,262.35000610351557,87.9670639038086,134.30410766601562,171.66355895996094,44.376869201660156,93.03186798095705,1117.3299560546877,1109.4000244140623,49.36825561523438,1633.0,10.132965087890623,69.07415008544922,35.55596923828125,78.93003845214844,105.81591796875,42.735836029052734,171.94874572753906,99.55845642089844,129.33026123046878,83.45220184326172,79.26307678222656,185.6324615478516,94.41736602783205,105.7239990234375,175.00999450683594,310.7983093261719,169.97421264648438,52.60565567016602,32.51383590698242,48.08887100219727,172.38711547851562,39.14551162719727,82.40574645996094,41.33365249633789,18.36566734313965,279.29998779296875,78.77200317382812,97.5228500366211,96.8209228515625,29.77288246154785,163.94000244140625,149.417236328125,889.5999755859375,190.3370056152344,105.82281494140624,1.435495138168335,54.42164993286133,28.6189079284668,51.9295768737793,74.00125122070312,247.20980834960938
2019-02-26,203.95553588867188,75.8479232788086,77.13827514648438,342.8699951171875,159.33009338378906,41.744667053222656,261.22000122070307,24.209999084472656,162.7333984375,16.881458282470707,109.23695373535156,48.16714096069336,78.04964447021484,178.4657440185547,69.59999847412111,61.9145622253418,89.16802978515625,133.358154296875,133.28999328613278,259.79000854492193,87.90756225585938,134.70841979980472,171.91964721679688,44.49431610107422,92.2378158569336,1122.010009765625,1115.1300048828123,49.6158561706543,1636.4000244140625,10.132965087890623,68.43097686767578,35.902610778808594,78.57827758789062,105.8258056640625,42.76508712768555,171.7415313720703,99.71636199951172,128.40885925292972,82.7129898071289,78.62714385986328,185.8965148925781,93.50425720214844,105.01852416992188,174.8300018310547,313.78369140625,170.1529541015625,52.05336380004883,32.154296875,48.20614242553711,172.48605346679688,39.066551208496094,82.12791442871094,41.22649383544922,18.375642776489254,280.52999877929693,78.33078002929688,97.8871078491211,96.80121612548828,29.85895729064941,163.30999755859375,149.79937744140625,935.0,190.64019775390625,104.75418090820312,1.435495138168335,54.21339797973633,28.638465881347656,52.03750228881836,74.11997985839844,246.05413818359372
2019-02-27,203.61460876464844,76.32228088378906,76.0843505859375,336.1700134277344,158.62893676757812,41.45697784423828,262.89999389648443,23.479999542236328,158.11868286132812,16.754528045654293,108.9402847290039,48.24592971801758,78.91410064697266,178.61329650878906,69.27999877929689,60.9702033996582,90.42225646972656,132.21188354492188,136.00999450683594,258.25,89.68277740478516,134.0477294921875,170.658935546875,44.48453140258789,92.6221923828125,1122.8900146484377,1116.050048828125,49.82536315917969,1641.0899658203125,10.132965087890623,68.62586212158203,35.34797286987305,78.7834701538086,106.3008041381836,42.38482284545898,170.93226623535156,99.71636199951172,129.26164245605472,81.5992431640625,79.13390350341797,187.20704650878903,93.49433135986328,103.7937240600586,176.8300018310547,302.563720703125,169.99407958984375,52.01391983032226,32.611011505126946,47.80547332763672,173.0203399658203,38.27692031860352,82.66372680664062,41.51874542236328,18.58513641357422,283.989990234375,78.94849395751953,99.30477142333984,97.37248992919922,29.7059326171875,164.27999877929688,149.8973388671875,911.9299926757812,189.9947204589844,105.66594696044922,1.435495138168335,55.03646850585938,28.873125076293945,51.75298309326172,74.27828216552734,247.2196807861328
2019-02-28,202.01708984375,76.70769500732422,75.92146301269531,334.5,159.3695831298828,41.8041877746582,262.5,23.53000068664551,161.59469604492188,16.822874069213867,108.39636993408205,48.39364624023438,78.93396759033203,178.20018005371094,69.66000366210939,60.69476318359375,89.45218658447266,133.13282775878906,135.33000183105472,258.97000122070307,89.2166519165039,135.79310607910156,170.39300537109375,44.895606994628906,93.0164031982422,1126.550048828125,1119.9200439453123,49.91107559204102,1639.8299560546875,10.132965087890623,69.42497253417969,35.28855514526367,79.29156494140625,106.61748504638672,42.12156295776367,173.8436279296875,100.2887725830078,129.02639770507812,82.10191345214844,79.07428741455078,185.8965148925781,93.26605224609376,105.3399429321289,177.25999450683594,297.2848815917969,170.33169555664062,51.21506881713867,32.241748809814446,47.81525039672852,171.31854248046875,37.84263229370117,82.46527862548828,41.40184783935547,18.44547271728516,285.25,79.13578796386719,101.3918685913086,97.36263275146484,29.763317108154297,163.00999450683594,149.9463348388672,938.969970703125,190.34678649902344,105.92084503173828,1.3573728799819946,54.4205322265625,28.57830047607422,51.48808288574219,74.12950897216797,245.73806762695312
2019-03-01,202.1145172119141,77.6662826538086,76.74544525146484,348.05999755859375,162.1544647216797,42.49861145019531,264.010009765625,23.68000030517578,160.43601989746094,17.086496353149414,109.3061752319336,48.42319107055664,80.72250366210938,177.13795471191406,71.08999633789062,60.31112289428711,88.96226501464844,133.15240478515622,137.75,263.35000610351557,90.4464111328125,138.76119995117188,170.97412109375,44.895606994628906,93.63729858398438,1148.52001953125,1140.989990234375,50.23486328125,1671.72998046875,10.132965087890623,69.12287139892578,34.30803680419922,79.53584289550781,107.76539611816406,42.15081787109375,175.5904541015625,100.1111297607422,129.56549072265622,81.78651428222656,79.06436157226562,186.9527587890625,94.3975067138672,106.79753112792969,182.22999572753903,304.1552429199219,170.45086669921875,51.856117248535156,33.028846740722656,47.94229125976562,173.11927795410156,38.05978012084961,83.61627960205078,41.33365249633789,18.65496826171875,286.5400085449219,79.17520904541016,102.5240249633789,97.4118881225586,29.47639465332031,159.77000427246094,150.79881286621094,929.3200073242188,189.97515869140625,107.55809020996094,1.308546543121338,54.84770965576172,28.804332733154297,51.694114685058594,75.23057556152344,251.24961853027344
2019-03-04,201.50082397460938,77.6959457397461,76.13224792480469,338.20001220703125,160.79165649414062,41.45697784423828,258.16000366210943,23.3700008392334,158.21856689453125,16.715473175048828,109.06883239746094,48.31486511230469,79.61957550048828,177.72808837890625,70.29000091552734,58.53060913085938,86.70855712890625,134.18110656738278,136.08000183105472,256.3099975585937,89.44475555419922,137.18345642089844,169.7921905517578,45.29689407348633,92.83900451660156,1153.4200439453125,1147.800048828125,49.95869064331055,1696.1700439453125,10.336801528930664,69.48345947265625,33.39685821533203,79.55537414550781,107.8643569946289,42.423824310302734,177.3372802734375,100.3775863647461,128.00694274902344,79.32247161865234,78.99479675292969,185.60313415527344,93.7623062133789,107.01419830322266,180.1300048828125,289.2381286621094,169.43798828125,51.7772216796875,32.7178955078125,48.4308967590332,173.989990234375,38.573036193847656,83.29875946044922,41.14856719970703,18.44547271728516,284.3999938964844,78.48519134521484,102.16960906982422,98.36729431152344,28.673015594482425,157.7899932861328,150.1717071533203,932.9500122070312,191.36392211914062,107.24436950683594,1.3183118104934692,54.887451171875,28.529165267944336,50.9288558959961,74.86355590820312,249.7581329345703
